"","X","Strategy1","Strategy","Strategy1.1","Location","proportion","response","N","PointEst","Lower","Upper","PointEst","Lower","Upper"
"X","X","Pulse","CPV",0,"Very easy",3.88,8,206,388.349514563107,198.073695673971,747.471523664611,0.0388349514563107,0.0198073695673971,0.0747471523664611
"X.1","X.1","Cont1","VLC",1,"Very easy",18.64,55,294,1870.74829931973,1466.3906641906,2355.82600341003,0.187074829931973,0.14663906641906,0.235582600341003
"X.2","X.2","Cont2","SVLC",2,"Very easy",21.11,72,339,2123.89380530973,1721.98626450038,2590.2535483052,0.212389380530973,0.172198626450038,0.25902535483052
"X.3","X.3","Cont3","DC",3,"Very easy",10.08,25,245,1020.40816326531,700.759261038,1462.92596552589,0.102040816326531,0.0700759261038,0.146292596552589
"X.4","X.4","Pulse","CPV",0,"Easy",76.7,158,206,7669.90291262136,7046.95724997565,8195.09551777569,0.766990291262136,0.704695724997565,0.819509551777569
"X.5","X.5","Cont1","VLC",1,"Easy",67.8,200,294,6802.72108843537,6249.3123781847,7309.62801982798,0.680272108843537,0.62493123781847,0.730962801982798
"X.6","X.6","Cont2","SVLC",2,"Easy",76.83,262,339,7728.61356932153,7253.48333166061,8142.5968459341,0.772861356932153,0.725348333166061,0.81425968459341
"X.7","X.7","Cont3","DC",3,"Easy",86.29,214,245,8734.69387755102,8259.98031979575,9094.09969835199,0.873469387755102,0.825998031979575,0.909409969835199
"X.8","X.8","Pulse","CPV",0,"Difficult",18.45,38,206,1844.66019417476,1374.46863627393,2430.3780927472,0.184466019417476,0.137446863627393,0.24303780927472
"X.9","X.9","Cont1","VLC",1,"Difficult",13.22,39,294,1326.5306122449,985.785535406762,1762.03403090701,0.13265306122449,0.0985785535406762,0.176203403090701
"X.10","X.10","Cont2","SVLC",2,"Difficult",1.47,5,339,147.492625368732,63.1602532721604,340.56743089725,0.0147492625368732,0.00631602532721604,0.034056743089725
"X.11","X.11","Cont3","DC",3,"Difficult",2.42,6,245,244.897959183673,112.711346361406,523.897155122621,0.0244897959183673,0.0112711346361406,0.0523897155122621
"X.12","X.12","Pulse","CPV",0,"Very difficult",0.97,2,206,97.0873786407767,26.6653647409699,347.019552661101,0.00970873786407767,0.00266653647409699,0.0347019552661101
"X.13","X.13","Cont1","VLC",1,"Very difficult",0,0,294,0,0,128.97663192708,0,0,0.012897663192708
"X.14","X.14","Cont2","SVLC",2,"Very difficult",0,0,339,0,0,112.047674569697,0,0,0.0112047674569697
"X.15","X.15","Cont3","DC",3,"Very difficult",0,0,245,0,0,154.37374619565,0,0,0.015437374619565
